order_id,customer_name,customer_email,region,category,product_name,quantity,unit_price,order_total,order_date,status
40ac1a57-ecbb-4b4f-a463-465d382d6175,Amanda Peck,josehernandez@example.net,Northeast,Home Goods,Optional client-driven system engine,4,53.42,213.68,2023-06-07,COMPLETED
c30b6b88-d4ac-4195-8074-1b3d9333047f,Henry Nelson,lori89@example.net,Midwest,Sporting Goods,Triple-buffered next generation capability,15,48.23,723.45,2023-08-13,
173caf61-7586-46a9-8ead-20fd35db6892,Charles Smith,watersbruce@example.org,South,Office Supplies,Profit-focused maximized installation,6,156.07,936.42,2023-01-28,
a14a8004-551e-4af0-92a5-f8799f7eb9ed,Dylan Williams,qwhite@example.com,South,Apparel,Secured homogeneous standardization,3,241.89,725.67,2024-02-05,COMPLETED
50643534-08e3-45cd-a1ca-3964d4389907,John Johnston,mendozacassie@example.net,West,Office Supplies,Customizable bottom-line monitoring,,45.98,229.9,2023-07-23,pending
81e01ad8-72ce-4bb3-96f7-d631ab3b3488,Sandra Quinn,mary75@example.org,West,Sporting Goods,Team-oriented background superstructure,9,258.52,2326.68,2023-07-22,completed
a39d3eca-a1ef-4469-ba48-8a60ba6f1cc1,Robert Holloway,daniel79@example.org,West,Office Supplies,Reduced 24hour task-force,,207.48,622.44,2024-11-15,pending
2fce39ce-d27a-4f15-b087-d2526fe7db75,Matthew Burton,chadmurray@example.com,South,Apparel,Open-source hybrid installation,20,211.17,4223.4,2023-01-20,refunded
c9f13fc0-a66e-4dfe-beef-c23d82394900,Brett Hunter,martin13@example.net,West,Sporting Goods,Versatile zero-defect approach,20,68.56,,2023-03-25,
627b6e18-0f05-47ef-9368-8e7ca08f1d82,Eric Gutierrez,cameron70@example.com,Northeast,Sporting Goods,Managed demand-driven firmware,9,88.06,792.54,2023-09-20,
5f628e02-3d2a-40e6-8b62-d032116dd43d,Hannah Luna,jonesmichael@example.org,Midwest,Sporting Goods,Inverse non-volatile Graphic Interface,3,252.9,758.7,2023-04-30,refunded
9f6a4a7a-b1ae-4d15-8f9e-b8193136769d,Carrie Arnold,joseph85@example.net,West,Apparel,Face-to-face reciprocal Internet solution,13,206.24,2681.12,2023-01-26,completed
4dbf8cb8-53f1-47a4-bee7-dadd3addd9c3,Faith Mclean,markdaniels@example.com,South,Sporting Goods,Open-architected 5thgeneration frame,16,54.7,875.2,2023-10-01,Pending
9b13fa8a-b5d0-40c5-9243-b70ca47a615d,William Lewis,richard67@example.net,South,Sporting Goods,Operative value-added capability,3,165.22,495.66,2024-02-21,completed
62aed9a8-3bb2-43f4-8d01-6131cc17f783,Jill Perez,tiffany50@example.net,West,Apparel,Fundamental cohesive firmware,4,292.06,1168.24,2023-04-17,refunded
d59ec26e-b2ff-44e2-8ce0-c1adec886169,Michelle Berry,haroldlopez@example.net,Northeast,Apparel,Programmable needs-based installation,15,207.87,3118.05,2024-06-15,refunded
01460c5b-6cd3-4f67-9c8e-e7c7760ebe1d,Jennifer Bass,johnsonsean@example.com,West,Apparel,Progressive intermediate collaboration,13,59.02,767.26,2024-11-15,
215a6158-013c-479b-8ac4-e87b1f5a8d0e,Seth Russell,tammyblack@example.org,Midwest,Office Supplies,De-engineered logistical synergy,13,87.91,1142.83,2024-02-13,
85a15382-2a12-4cff-a654-4d481cb8e8cd,Sharon Armstrong,kristinyoung@example.org,South,Electronics,Compatible well-modulated service-desk,4,66.16,264.64,2024-10-01,completed
1905b2cd-34c3-4600-9110-d69a9387bd8d,Matthew Robles,ywong@example.org,Northeast,Apparel,Synergized heuristic Graphic Interface,9,113.45,1021.05,2024-12-06,Pending
80376e49-41eb-45ca-9dc0-e6a0542787f6,Hannah Wiggins MD,clarkcharles@example.org,Northeast,Home Goods,Polarized motivating complexity,3,244.74,734.22,2024-05-16,COMPLETED
c8439f38-21b0-44b3-a9f0-2f01773d3a7a,Dr. Rebecca Howell MD,nicholasbriggs@example.com,West,Sporting Goods,Monitored modular customer loyalty,14,165.62,2318.68,2023-03-06,completed
77c508ea-5475-45ee-824e-a202f30b4b39,Jose Meyers,gabriella55@example.net,Midwest,Apparel,Front-line well-modulated application,6,265.64,1593.84,2024-06-11,
53d70bfd-7ba0-4297-9c7a-00b51a935ef9,Craig Davies,donnawheeler@example.net,Northeast,Home Goods,De-engineered composite website,16,44.3,708.8,2024-06-05,Pending
c11d3594-5c6f-48b9-b7af-f648ab018738,Dr. Jodi Kim MD,kristin93@example.com,West,Apparel,Distributed non-volatile neural-net,17,266.27,4526.59,2023-12-31,completed
1b4050b7-3b0a-4310-95cf-39de0d4cf2c0,Jonathan Stevens,ryanhawkins@example.com,Northeast,Sporting Goods,Fundamental reciprocal forecast,,248.69,497.38,2023-01-30,pending
916f12ba-09f8-4252-a246-a40fa5fb2fbc,Martin Collins,beanmichael@example.net,Northeast,Electronics,Universal secondary emulation,19,183.88,3493.72,2024-08-10,pending
a6dffa2b-ff21-4989-9c0a-86a1e017bd92,Jeffrey Torres,romerogarrett@example.org,Midwest,Apparel,Organic systematic neural-net,16,262.96,4207.36,2024-04-26,refunded
96fd75fd-6241-47b9-8925-048959d080e5,Megan Allen,nicholas49@example.com,South,Office Supplies,Down-sized systematic archive,19,5.58,106.02,2023-03-13,refunded
c2d4db9c-7bae-4509-83ab-144f4e738cbd,Amy Reilly,nicolegalloway@example.com,South,Sporting Goods,Re-contextualized zero-defect knowledge user,18,219.19,3945.42,2023-04-17,
409fae32-8470-43c4-8d7b-0139b7e5d44a,Yolanda Bowers,daniel19@example.com,Midwest,Apparel,Enterprise-wide 24hour matrices,3,255.28,765.84,2024-07-31,
11d2a318-31d9-416d-9510-94edba41d8af,Allison Mclaughlin,srogers@example.org,South,Apparel,Polarized attitude-oriented definition,3,127.17,381.51,2023-02-10,
67c629d7-074d-42c3-8473-ef42e7201c4f,Timothy Brown,josborn@example.net,South,Office Supplies,Cloned high-level process improvement,1,127.27,127.27,2024-07-11,refunded
3d35b065-63fb-479e-b724-6c8557623d27,Rebekah Johnson,jimenezmatthew@example.net,Midwest,Electronics,Future-proofed secondary algorithm,20,173.02,3460.4,2024-08-26,Pending
c79c0c6e-8e52-4b2b-9507-c7802e451e35,Randall Contreras,aliciameadows@example.com,Midwest,Apparel,Extended radical portal,17,220.6,3750.2,2023-12-01,Pending
029b6e4b-5629-4829-9f90-3e2ebd9094df,Latoya Hull,marychavez@example.com,West,Electronics,Innovative global website,19,30.83,,2024-08-02,Pending
b97985b3-a1ae-489f-9155-9b807214222b,Benjamin Rodriguez,joshua22@example.net,Midwest,Home Goods,Distributed grid-enabled circuit,16,127.09,2033.44,2023-12-14,refunded
36c6df6c-e715-4441-aca3-35a40a737db1,Corey Barnes,vpalmer@example.com,West,Apparel,Self-enabling intangible encoding,16,115.91,1854.56,2023-09-23,completed
94e41c93-9fb4-4547-b1f6-bd598a839942,Eddie Underwood,harrisbrandi@example.com,Midwest,Electronics,Total upward-trending solution,13,133.43,1734.59,2023-09-30,Pending
c78a7742-ac15-4bf9-ab78-9b4748e7707d,Robert Abbott,stephenbauer@example.org,West,Home Goods,Persevering fault-tolerant flexibility,11,190.89,2099.79,2024-06-24,
a23d9a25-923e-45ef-93a9-a06a4304fa8a,Larry Cunningham,catherine17@example.net,Northeast,Electronics,Pre-emptive coherent encoding,14,214.32,3000.48,2024-01-07,pending
